177.183.244.100/30,BR,BR-PR,Guarapuava,
187.23.73.64/26,BR,BR-PR,Guarapuava,
187.23.73.0/26,BR,BR-PR,Guarapuava,
187.255.131.0/24,BR,BR-PR,Guarapuava,
187.255.130.0/24,BR,BR-PR,Guarapuava,
187.255.129.0/24,BR,BR-PR,Guarapuava,
187.255.128.0/24,BR,BR-PR,Guarapuava,
187.255.132.0/24,BR,BR-PR,Guarapuava,
179.153.128.8/30,BR,BR-SP,Tietê,
191.184.96.0/22,BR,BR-SP,Tietê,
187.123.185.224/27,BR,BR-SP,Tietê,
187.123.185.192/27,BR,BR-SP,Tietê,
187.123.185.160/27,BR,BR-SP,Tietê,
187.123.185.128/27,BR,BR-SP,Tietê,
187.123.185.96/27,BR,BR-SP,Tietê,
187.123.185.64/27,BR,BR-SP,Tietê,
187.123.185.32/27,BR,BR-SP,Tietê,
187.123.185.0/27,BR,BR-SP,Tietê,
177.64.168.0/22,BR,BR-SP,Tietê,
187.255.160.0/22,BR,BR-SP,Tietê,
191.184.100.0/22,BR,BR-SP,Tietê,
179.153.128.20/30,BR,BR-SP,Capivari,
191.184.124.0/23,BR,BR-SP,Capivari,
187.123.185.224/27,BR,BR-SP,Capivari,
187.123.185.192/27,BR,BR-SP,Capivari,
187.123.185.160/27,BR,BR-SP,Capivari,
187.123.185.128/27,BR,BR-SP,Capivari,
187.123.185.96/27,BR,BR-SP,Capivari,
187.123.185.64/27,BR,BR-SP,Capivari,
187.123.185.32/27,BR,BR-SP,Capivari,
187.123.185.0/27,BR,BR-SP,Capivari,
179.153.140.0/22,BR,BR-SP,Capivari,
187.123.168.0/22,BR,BR-SP,Capivari,
187.123.164.0/22,BR,BR-SP,Capivari,
187.123.160.0/22,BR,BR-SP,Capivari,
187.255.168.0/22,BR,BR-SP,Capivari,
187.255.164.0/22,BR,BR-SP,Capivari,
177.64.188.0/22,BR,BR-SP,Capivari,
177.64.184.0/22,BR,BR-SP,Capivari,
177.64.180.0/22,BR,BR-SP,Capivari,
187.123.190.0/23,BR,BR-SP,Capivari,
179.153.204.4/30,BR,BR-SP,Itu,
187.66.16.0/22,BR,BR-SP,Itu,
189.7.241.0/24,BR,BR-SP,Itu,
179.153.228.0/22,BR,BR-SP,Itu,
177.183.152.0/22,BR,BR-SP,Itu,
187.66.12.0/22,BR,BR-SP,Itu,
179.155.98.116/30,BR,BR-MG,Uberaba,
181.222.193.0/24,BR,BR-MG,Uberaba,
179.155.97.0/24,BR,BR-MG,Uberaba,
187.181.82.0/23,BR,BR-MG,Uberaba,
181.222.196.0/23,BR,BR-MG,Uberaba,
179.155.126.0/23,BR,BR-MG,Uberaba,
179.155.124.0/23,BR,BR-MG,Uberaba,
179.155.118.0/23,BR,BR-MG,Uberaba,
179.155.116.0/23,BR,BR-MG,Uberaba,
187.181.74.0/23,BR,BR-MG,Uberaba,
187.181.72.0/23,BR,BR-MG,Uberaba,
179.221.150.0/23,BR,BR-MG,Uberaba,
179.214.252.0/23,BR,BR-MG,Uberaba,
179.214.250.0/23,BR,BR-MG,Uberaba,
179.214.244.0/23,BR,BR-MG,Uberaba,
179.214.242.0/23,BR,BR-MG,Uberaba,
181.222.210.0/23,BR,BR-MG,Uberaba,
189.101.50.0/23,BR,BR-MG,Uberaba,
179.155.120.0/22,BR,BR-MG,Uberaba,
179.212.76.8/30,BR,BR-SP,Santo André,
191.182.200.0/22,BR,BR-SP,Santo André,
189.55.192.0/22,BR,BR-SP,Santo André,
177.80.72.0/22,BR,BR-SP,Santo André,
177.80.200.0/21,BR,BR-SP,Santo André,
179.212.76.100/30,BR,BR-SP,São Bernardo do Campo,
191.182.200.0/22,BR,BR-SP,São Bernardo do Campo,
189.55.192.0/22,BR,BR-SP,São Bernardo do Campo,
187.3.40.0/22,BR,BR-SP,São Bernardo do Campo,
187.3.16.0/21,BR,BR-SP,São Bernardo do Campo,
187.3.8.0/21,BR,BR-SP,São Bernardo do Campo,
179.212.140.0/22,BR,BR-SP,São Bernardo do Campo,
179.212.76.24/30,BR,BR-SP,Santo André,
191.182.200.0/22,BR,BR-SP,Santo André,
189.55.192.0/22,BR,BR-SP,Santo André,
177.80.76.0/22,BR,BR-SP,Santo André,
177.80.208.0/21,BR,BR-SP,Santo André,
179.220.1.12/30,BR,BR-MS,Dourados,
179.220.4.0/24,BR,BR-MS,Dourados,
179.220.8.0/21,BR,BR-MS,Dourados,
179.220.6.0/23,BR,BR-MS,Dourados,
179.220.5.0/24,BR,BR-MS,Dourados,
179.220.24.0/22,BR,BR-MS,Dourados,
179.220.128.0/24,BR,BR-MG,Sete Lagoas,
179.220.130.128/25,BR,BR-MG,Sete Lagoas,
179.220.129.64/26,BR,BR-MG,Sete Lagoas,
179.220.129.0/26,BR,BR-MG,Sete Lagoas,
179.220.140.0/22,BR,BR-MG,Sete Lagoas,
179.220.148.0/22,BR,BR-MG,Sete Lagoas,
179.220.152.0/22,BR,BR-MG,Sete Lagoas,
179.220.136.0/22,BR,BR-MG,Sete Lagoas,
179.220.156.0/22,BR,BR-MG,Sete Lagoas,
179.220.135.0/24,BR,BR-MG,Sete Lagoas,
179.220.68.8/30,BR,BR-MT,Rondonópolis,
179.220.70.0/24,BR,BR-MT,Rondonópolis,
179.220.65.128/25,BR,BR-MT,Rondonópolis,
179.220.80.0/22,BR,BR-MT,Rondonópolis,
179.220.72.0/21,BR,BR-MT,Rondonópolis,
179.221.67.140/30,BR,BR-MG,Teófilo Otoni,
179.221.66.0/25,BR,BR-MG,Teófilo Otoni,
179.221.65.64/26,BR,BR-MG,Teófilo Otoni,
179.221.65.0/26,BR,BR-MG,Teófilo Otoni,
179.221.88.0/22,BR,BR-MG,Teófilo Otoni,
179.221.80.0/22,BR,BR-MG,Teófilo Otoni,
179.221.72.0/22,BR,BR-MG,Teófilo Otoni,
179.221.70.0/23,BR,BR-MG,Teófilo Otoni,
179.222.226.12/30,BR,BR-SC,Joinville,
189.7.12.0/24,BR,BR-SC,Joinville,
189.7.9.0/24,BR,BR-SC,Joinville,
179.235.244.0/22,BR,BR-SC,Joinville,
187.105.124.0/22,BR,BR-SC,Joinville,
189.101.212.0/22,BR,BR-SC,Joinville,
177.34.68.0/22,BR,BR-SC,Joinville,
179.223.168.0/21,BR,BR-SC,Joinville,
179.223.160.0/21,BR,BR-SC,Joinville,
181.221.28.0/23,BR,BR-SC,Joinville,
179.232.2.32/30,BR,BR-SE,Aracaju,
179.232.1.0/24,BR,BR-SE,Aracaju,
187.21.24.0/24,BR,BR-SE,Aracaju,
179.232.2.36/30,BR,BR-SE,Aracaju,
179.232.1.0/24,BR,BR-SE,Aracaju,
187.21.25.0/24,BR,BR-SE,Aracaju,
179.233.130.200/30,BR,BR-RJ,Rio das Ostras,
181.221.61.0/24,BR,BR-RJ,Rio das Ostras,
179.105.50.0/25,BR,BR-RJ,Rio das Ostras,
179.233.129.0/25,BR,BR-RJ,Rio das Ostras,
179.233.140.0/22,BR,BR-RJ,Rio das Ostras,
181.223.96.0/23,BR,BR-RJ,Rio das Ostras,
187.107.208.0/22,BR,BR-RJ,Rio das Ostras,
181.223.108.0/22,BR,BR-RJ,Rio das Ostras,
179.233.148.0/22,BR,BR-RJ,Rio das Ostras,
181.223.112.0/22,BR,BR-RJ,Rio das Ostras,
179.233.173.80/30,BR,BR-RJ,Nilópolis,
179.157.183.0/24,BR,BR-RJ,Nilópolis,
187.122.190.224/27,BR,BR-RJ,Nilópolis,
187.122.189.0/24,BR,BR-RJ,Nilópolis,
177.65.53.0/24,BR,BR-RJ,Nilópolis,
177.65.40.0/21,BR,BR-RJ,Nilópolis,
177.65.60.0/22,BR,BR-RJ,Nilópolis,
179.233.98.4/30,BR,BR-RJ,Petrópolis,
179.233.98.96/27,BR,BR-RJ,Petrópolis,
179.233.98.128/27,BR,BR-RJ,Petrópolis,
179.233.98.160/27,BR,BR-RJ,Petrópolis,
179.233.98.192/27,BR,BR-RJ,Petrópolis,
179.233.98.224/27,BR,BR-RJ,Petrópolis,
179.233.97.0/25,BR,BR-RJ,Petrópolis,
179.233.104.0/21,BR,BR-RJ,Petrópolis,
177.143.184.0/22,BR,BR-RJ,Petrópolis,
179.233.112.0/21,BR,BR-RJ,Petrópolis,
179.233.124.0/22,BR,BR-RJ,Petrópolis,
179.233.120.0/22,BR,BR-RJ,Petrópolis,
187.105.84.0/22,BR,BR-RJ,Petrópolis,
187.105.80.0/22,BR,BR-RJ,Petrópolis,
181.213.3.24/30,BR,BR-CE,Fortaleza,
177.65.96.0/24,BR,BR-CE,Fortaleza,
191.190.110.0/24,BR,BR-CE,Fortaleza,
191.190.127.0/24,BR,BR-CE,Fortaleza,
177.65.97.128/25,BR,BR-CE,Fortaleza,
177.65.97.0/25,BR,BR-CE,Fortaleza,
187.105.44.128/25,BR,BR-CE,Fortaleza,
191.190.124.0/24,BR,BR-CE,Fortaleza,
186.222.168.0/24,BR,BR-CE,Fortaleza,
179.156.190.0/24,BR,BR-CE,Fortaleza,
181.221.210.128/25,BR,BR-CE,Fortaleza,
191.186.153.0/24,BR,BR-CE,Fortaleza,
181.221.208.0/24,BR,BR-CE,Fortaleza,
179.156.168.128/25,BR,BR-CE,Fortaleza,
179.152.246.0/25,BR,BR-CE,Fortaleza,
181.221.222.0/25,BR,BR-CE,Fortaleza,
181.221.219.0/24,BR,BR-CE,Fortaleza,
177.65.102.128/25,BR,BR-CE,Fortaleza,
191.190.68.0/22,BR,BR-CE,Fortaleza,
181.221.192.0/25,BR,BR-CE,Fortaleza,
191.190.67.128/25,BR,BR-CE,Fortaleza,
191.190.67.0/25,BR,BR-CE,Fortaleza,
181.221.223.0/24,BR,BR-CE,Fortaleza,
191.190.106.0/24,BR,BR-CE,Fortaleza,
191.190.92.0/23,BR,BR-CE,Fortaleza,
191.190.104.0/23,BR,BR-CE,Fortaleza,
191.190.65.0/24,BR,BR-CE,Fortaleza,
191.190.74.0/23,BR,BR-CE,Fortaleza,
191.190.72.0/23,BR,BR-CE,Fortaleza,
181.220.160.132/30,BR,BR-SP,Atibaia,
191.187.68.0/24,BR,BR-SP,Atibaia,
189.55.161.0/24,BR,BR-SP,Atibaia,
186.223.136.44/30,BR,BR-PE,Recife,
179.152.254.0/25,BR,BR-PE,Recife,
179.154.238.192/26,BR,BR-PE,Recife,
181.221.116.0/26,BR,BR-PE,Recife,
186.218.3.0/24,BR,BR-PE,Recife,
179.154.239.128/26,BR,BR-PE,Recife,
186.223.130.0/24,BR,BR-PE,Recife,
177.183.202.0/23,BR,BR-PE,Recife,
191.187.184.0/22,BR,BR-PE,Recife,
186.223.152.0/23,BR,BR-PE,Recife,
181.221.112.0/23,BR,BR-PE,Recife,
181.221.114.0/23,BR,BR-PE,Recife,
191.187.148.0/22,BR,BR-PE,Recife,
191.187.158.0/23,BR,BR-PE,Recife,
177.34.104.0/22,BR,BR-PE,Recife,
187.106.144.8/30,BR,BR-SP,São José dos Campos,
201.62.112.128/25,BR,BR-SP,São José dos Campos,
